At which research institution are you a student or staff member?,Which of these terms best describe your career stage or role? (select one or more),How would you describe your MATLAB experience? (Using terms defined by The Carpentries),Please add any additional detail if you wish,"How would you describe your experience of software development and code in general?

Please consider any experience you have of MATLAB as well as other languages and tools outside of MATLAB.",Please add any additional detail if you wish,"Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Version control (e.g. git, subversion, mercurial, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Online code hosting (e.g. GitHub, GitLab, BitBucket)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Dependency and/or  environment management (e.g. conda, renv, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Continuous Integration/Deployment (e.g. automated testing, GitHub Actions, Travis, Jenkins etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Literate programming (e.g. jupyter notebooks, rmarkdown, live scripts, quarto)]",Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Documentation generation and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Data availability and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Software testing],Is there anything else you'd like to tell us following this question?,"Do you use git as a version control system with MATLAB? If so, which interface(s) do you use?",Is there anything else you'd like to tell us following this question?,Which of the following MATLAB tools and language features do you use?,"If you have indicated that you’re aware of a tool or reproducibility concept but that you don’t use it, please tell us what would make you more likely to use it.","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [MATLAB Projects (https://uk.mathworks.com/help/matlab/projects.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Version control (e.g. git)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Custom MATLAB Toolbox Development]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Publishing code (sharing code with a research publication)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Software Licensing]","In general, which training formats do you favour for learning coding/software development skills?","When you seek guidance in writing code, where do you turn to?",Is there anything else you’d like to share on the topic of MATLAB and reproducibility methods?
University of Sheffield,Postdoctoral Researcher / Research Fellow,Competent Practitioner,N/A,Novice,N/A,Not aware of,Aware of but don't use,Not aware of,Not aware of,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,N/A,I don't use git with MATLAB,N/A,Functions,,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,"Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",N/A
University of Sheffield ,Postdoctoral Researcher / Research Fellow,Competent Practitioner,"I used Matlab's more rudimentary features throughout my undergraduate studies, particularly during my dissertation to code machine learning algorithms. Now, it forms a highly useful tool in my research. ",Competent Practitioner,,Not aware of,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Already familiar with,Already familiar with,Would like to learn (in structured training),Not interested,Would like to learn (on my own),Already familiar with,"In-person practical, Video tutorials","Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield ,Academic Researcher or Lecturer,Competent Practitioner,High end of competent practitioner ,Competent Practitioner,Middle of competent ,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,Aware of and use outside MATLAB,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",I mostly don't need the tools I don't use,Not interested,Not interested,Already familiar with,Not interested,Would like to learn (on my own),Would like to learn (on my own),Not interested,In-person practical,"Official documentation, Third-party online guidance",
"University of Sheffield, RA",Postdoctoral Researcher / Research Fellow,Expert,Used it for over 10 years in various applications,Expert,"Robotics, engineering, software design, C++ C#, python etc",Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of and use with MATLAB,Aware of and use with MATLAB,There are concerns about the proprietary nature of matlab over alternatives like python.,"Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, GitHub Desktop",Both are good,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Custom toolbox development",,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),"In-person practical, Video tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of but don't use,Aware of and use with MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming","Simplicity. Ideally a very basic GUI to manage pull requests, merges, etc.",Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),"Remote (online) lecture, Video tutorials, Blogs","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",It is great that the topic of reproducibility is being developed in the context of MATLAB.
University of Sheffield,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Not aware of,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming",,Would like to learn (in structured training),Would like to learn (in structured training),,Would like to learn (in structured training),,Would like to learn (in structured training),,In-person practical,Online Q&A/Forums/Stack Overflow/MATLAB Central,"If you truly wish to increase reproducibility, you can make MATLAB free."
University of Sheffield ,Postdoctoral Researcher / Research Fellow,Expert,Used it every day for 4 years in the modeling and simulation of energy storage,Competent Practitioner,"Python, c++","Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,"Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of but don't use,,I don't use git with MATLAB,,Functions,,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Already familiar with,Already familiar with,Already familiar with,"In-person lecture, In-person practical",Online Q&A/Forums/Stack Overflow/MATLAB Central,
The University of Sheffield,Undergraduate student,Novice,,Novice,,Not aware of,Aware of but don't use,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Projects (https://uk.mathworks.com/help/matlab/projects.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",More information about how to use,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Would like to learn (in structured training),"In-person lecture, Remote (online) lecture, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
staff,Postgraduate Masters student,Competent Practitioner,,Competent Practitioner,,Aware of and use with MATLAB,Aware of but don't use,"Aware of but don't use, Not aware of",Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,,"git's command line interface, MATLAB's source control tools, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,"Functions, Projects (https://uk.mathworks.com/help/matlab/projects.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),"Remote (online) lecture, Remote (online) practical, Video tutorials","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
,Postdoctoral Researcher / Research Fellow,Expert,,Expert,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Not aware of,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,"Aware of and use with MATLAB, Aware of and use outside MATLAB",,I don't use git with MATLAB,,"Functions, Projects (https://uk.mathworks.com/help/matlab/projects.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Would like to learn (on my own),Already familiar with,Already familiar with,Already familiar with,Already familiar with,Would like to learn (on my own),"In-person lecture, In-person practical, Written tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Staff member in EEE Department EMD group,Postdoctoral Researcher / Research Fellow,Competent Practitioner,,Competent Practitioner,,Aware of but don't use,Not aware of,Not aware of,"Aware of but don't use, Not aware of",Not aware of,"Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of but don't use,,I don't use git with MATLAB,,Functions,,Would like to learn (on my own),Not interested,Would like to learn (on my own),Not interested,Already familiar with,Already familiar with,Already familiar with,Video tutorials,Official documentation,
University of Sheffield,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Not aware of,Aware of but don't use,Not aware of,Not aware of,Not aware of,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials, Blogs","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
"AMRC, University of Sheffield",Postdoctoral Researcher / Research Fellow,Competent Practitioner,,Novice,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Not aware of,Aware of and use with MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Projects (https://uk.mathworks.com/help/matlab/projects.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Not interested,Already familiar with,Would like to learn (on my own),Not interested,Not interested,Would like to learn (in structured training),"In-person practical, Remote (online) practical, Video tutorials, Blogs","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
